;labels;Feret;FeretX;FeretY;FeretAngle;MinFeret;AR;Round;Solidity;Esferoide;dia;Diameter;n_diam
1000;Esferas_BT474_dia_7_well_2_100X_1_blob_11;13.0675;957;753;117.8973;11.5336;1.1275;0.8869;0.9301;no;7;12.30055;0.3015817881355874
1015;Esferas_BT474_dia_7_well_2_100X_5_blob_5;27.0718;176;638;107.5256;20.3804;1.2472;0.8018;0.9657;no;7;23.7261;2.164265763627504
1009;Esferas_BT474_dia_7_well_2_100X_3_blob_3;24.5507;1122;282;165.5792;16.9837;1.3648;0.7327;0.9602;no;7;20.7672;1.4513272718181314
992;Esferas_BT474_dia_7_well_1_100X_8_blob_3;79.0412;643;435;175.5635;52.1486;1.5889;0.6294;0.9155;no;7;65.5949;45.73426909893647
981;Esferas_BT474_dia_7_well_1_100X_3_blob_1;25.145;838;423;51.5819;21.4829;1.1471;0.8718;0.955;no;7;23.31395;2.0534262146645497
986;Esferas_BT474_dia_7_well_1_100X_4_blob_5;20.1985;897;762;19.6538;18.1165;1.0292;0.9716;0.9399;no;7;19.1575;1.139326037347623
956;Esferas_BT474_dia_7_well_1_100X_7_blob_1;107.3649;697;200;131.1518;89.3491;1.1772;0.8495;0.9725;si;7;98.357;154.18685186405347
967;Esferas_BT474_dia_7_well_2_100X_3_blob_4;94.7294;709;865;81.7537;80.163;1.1351;0.8809999999999999;0.9757;si;7;87.4462;108.35634451797829
969;Esferas_BT474_dia_7_well_2_100X_5_blob_3;89.6765;913;504;127.3039;79.2953;1.1254;0.8886;0.9766;si;7;84.4859;97.72017236836804
989;Esferas_BT474_dia_7_well_1_100X_7_blob_3;27.1484;116;763;31.7014;21.4626;1.2114;0.8255;0.945;no;7;24.3055;2.326725762732873
1012;Esferas_BT474_dia_7_well_2_100X_5_blob_1;39.4373;578;182;169.0772;33.5052;1.1491;0.8703;0.9223;no;7;36.47125;7.861102608827402
977;Esferas_BT474_dia_7_well_1_100X_2_blob_3;13.587;237;442;143.1301;12.2283;1.0701;0.9345;0.9383;no;7;12.90765;0.348476151577711
1014;Esferas_BT474_dia_7_well_2_100X_5_blob_4;21.7497;276;627;128.6598;18.1132;1.2288;0.8138;0.9473;no;7;19.93145;1.2830636559690891
1001;Esferas_BT474_dia_7_well_2_100X_1_blob_12;39.4958;836;916;40.8151;32.2011;1.1648;0.8585;0.8917;no;7;35.84845;7.465220974092574
944;Esferas_BT474_dia_7_well_1_100X_1_blob_1;52.3627;794;56;112.9058;46.1957;1.1006;0.9086;0.9724;si;7;49.2792;19.391993926039923
945;Esferas_BT474_dia_7_well_1_100X_1_blob_3;65.7846;1026;281;54.6687;59.2436;1.0551;0.9478;0.9502;si;7;62.5141;39.58817389250262
946;Esferas_BT474_dia_7_pozo_^~1_100X_1_blob_6;77.7104;1007;442;121.0497;69.6045;1.1018;0.9076;0.965;si;7;73.65745000000003;64.75623027316225
947;Esferas_BT474_dia_7_well_1_100X_1_blob_7;57.3918;377;709;83.8845;45.71;1.0813;0.9248;0.9198;si;7;51.5509;22.19935086089588
948;Esferas_BT474_dia_7_well_1_100X_2_blob_1;69.1802;848;34;134.2043;64.1047;1.0371;0.9642;0.9777;si;7;66.64245;47.96057534081256
949;Esferas_BT474_dia_7_well_1_100X_2_blob_4;58.7901;178;780;157.5839;52.8916;1.0716;0.9332;0.9323;si;7;55.84085;28.21548898339113
950;Esferas_BT474_dia_7_well_1_100X_2_blob_7;40.1045;313;891;26.131;33.9992;1.0823;0.924;0.9526;si;7;37.05185;8.242542809833008
951;Esferas_BT474_dia_7_well_1_100X_3_blob_2;43.7797;799;643;41.855;38.7228;1.0634;0.9404;0.9536;si;7;41.25125;11.374776163857645
952;Esferas_BT474_dia_7_well_1_100X_4_blob_3;79.0061;710;524;117.6668;56.7148;1.2788;0.782;0.8719;si;7;67.86045;50.63860411501733
953;Esferas_BT474_dia_7_pozo_^~1_100X_4_blob_4;44.3661;685;698;25.3879;38.7228;1.0542;0.9486;0.9537;si;7;41.54445;11.619048411846707
954;Esferas_BT474_dia_7_well_1_100X_5_blob_1;84.2172;617;530;79.7778;66.6602;1.1944;0.8372;0.9354;si;7;75.43870000000003;69.5687351292179
955;Esferas_BT474_dia_7_well_1_100X_6_blob_2;128.6696;678;593;83.0251;113.4316;1.0636;0.9402;0.9562;si;7;121.0506;287.43017486042635
956;Esferas_BT474_dia_7_well_1_100X_7_blob_1;107.3649;697;200;131.1518;89.3491;1.1772;0.8495;0.9725;si;7;98.357;154.18685186405347
957;Esferas_BT474_dia_7_well_1_100X_7_blob_2;80.851;795;632;24.8424;76.0436;1.0566;0.9465;0.9813;si;7;78.4473;78.22859345840487
958;Esferas_BT474_dia_7_well_1_100X_8_blob_1;36.1142;881;310;16.3895;25.1019;1.5165;0.6594;0.9229;si;7;30.60805;4.6466344318767625
959;Esferas_BT474_dia_7_well_1_100X_9_blob_3;106.7355;154;673;177.8114;82.1428;1.1907;0.8398;0.9341;si;7;94.43915;136.48588135039205
960;Esferas_BT474_dia_7_well_2_100X_1_blob_1;71.9371;1032;89;129.2513;63.8425;1.0761;0.9293;0.9757;si;7;67.88980000000001;50.70433692100414
961;Esferas_BT474_dia_7_well_2_100X_1_blob_3;36.3372;895;403;159.1932;32.4361;1.1173;0.895;0.9526;si;7;34.38665;6.5887211049730325
962;Esferas_BT474_dia_7_pozo_^~2_100X_1_blob_7;66.4824;255;589;111.584;59.5874;1.0249;0.9757;0.9596;si;7;63.0349;40.585857337035215
963;Esferas_BT474_dia_7_well_2_100X_1_blob_8;81.0932;231;828;74.4502;70.468;1.0808;0.9252;0.949;si;7;75.78059999999998;70.51891772389942
964;Esferas_BT474_dia_7_well_2_100X_1_blob_9;56.9721;815;782;30.8466;50.8562;1.0154;0.9848;0.9176;si;7;53.91415;25.39450826589918
965;Esferas_BT474_dia_7_well_2_100X_1_blob_10;57.5805;67;833;70.71;47.3435;1.0649;0.939;0.9151;si;7;52.462;23.397316462013418
966;Esferas_BT474_dia_7_well_2_100X_2_blob_5;71.9756;963;798;146.1599;51.0407;1.2758;0.7838;0.903;si;7;61.50815;37.70765407684792
967;Esferas_BT474_dia_7_well_2_100X_3_blob_4;94.7294;709;865;81.7537;80.163;1.1351;0.8809999999999999;0.9757;si;7;87.4462;108.35634451797829
968;Esferas_BT474_dia_7_well_2_100X_4_blob_3;131.1018;619;651;78.3407;112.9599;1.0625;0.9412;0.9487;si;7;122.03085;294.4695745541378
969;Esferas_BT474_dia_7_well_2_100X_5_blob_3;89.6765;913;504;127.3039;79.2953;1.1254;0.8886;0.9766;si;7;84.4859;97.72017236836804
970;Esferas_BT474_dia_7_well_2_100X_6_blob_1;114.0212;1025;180;65.7256;91.3043;1.2099;0.8265;0.9659;si;7;102.66275;175.33563885854988
971;Esferas_BT474_dia_7_well_2_100X_6_blob_2;80.393;764;289;120.4655;77.0572;1.0179;0.9825;0.9764;si;7;78.7251;79.06261649518126
972;"Esferoides/""_474BT__dia_7_well_2_100X_7_blob_1";105.5965;617;335;130.0415;85.1646;1.2341;0.8103;0.9687;si;7;95.38055;140.60830957803594
973;Esferas_BT474_dia_7_well_1_100X_1_blob_2;29.7132;613;153;10.5392;24.8797;1.2364;0.8088;0.9427;no;7;27.29645;3.295717874323875
974;Esferas_BT474_dia_7_well_1_100X_1_blob_4;23.2174;720;268;159.444;16.9477;1.4562;0.6867;0.8807;no;7;20.08255;1.3124660875109897
975;Esferas_BT474_dia_7_well_1_100X_1_blob_5;33.17;358;401;124.992;18.505;2.0068;0.4983;0.8343;no;7;25.8375;2.7950075719497263
976;Esferas_BT474_dia_7_well_1_100X_2_blob_2;40.8174;427;403;71.5651;31.2241;1.1782;0.8487;0.8902;no;7;36.02075;7.573380434997324
977;Esferas_BT474_dia_7_well_1_100X_2_blob_3;13.587;237;442;143.1301;12.2283;1.0701;0.9345;0.9383;no;7;12.90765;0.348476151577711
978;Esferas_BT474_dia_7_well_1_100X_2_blob_5;12.5266;658;793;49.3987;11.4579;1.0264;0.9743;0.925;no;7;11.99225;0.2794689354455511
979;Esferas_BT474_dia_7_well_1_100X_2_blob_6;35.6188;138;846;34.9025;31.25;1.0461;0.9559;0.9382;no;7;33.4344;6.056366125238783
980;Esferas_BT474_dia_7_well_1_100X_2_blob_8;17.146;140;903;56.3099;14.9457;1.0815;0.9246;0.9261;no;7;16.04585;0.6694524015991532
981;Esferas_BT474_dia_7_well_1_100X_3_blob_1;25.145;838;423;51.5819;21.4829;1.1471;0.8718;0.955;no;7;23.31395;2.0534262146645497
982;Esferas_BT474_dia_7_well_1_100X_3_blob_3;23.6312;166;785;161.5651;15.625;1.6005;0.6248;0.9153;no;7;19.6281;1.2253673537049523
983;Esferas_BT474_dia_7_well_1_100X_3_blob_4;34.1368;292;825;148.8407;29.6579;1.1643;0.8589;0.9496;no;7;31.89735000000001;5.258905069582314
984;Esferas_BT474_dia_7_well_1_100X_4_blob_1;17.038;871;51;113.4986;13.8587;1.2372;0.8083;0.9384;no;7;15.44835;0.5974173358781733
985;Esferas_BT474_dia_7_well_1_100X_4_blob_2;18.8878;586;370;127.6942;11.2206;1.9338;0.5171;0.8366;no;7;15.054199999999998;0.5528464997893106
986;Esferas_BT474_dia_7_well_1_100X_4_blob_5;20.1985;897;762;19.6538;18.1165;1.0292;0.9716;0.9399;no;7;19.1575;1.139326037347623
987;Esferas_BT474_dia_7_well_1_100X_5_blob_2;17.32;1066;740;154.44;14.2663;1.1359;0.8804;0.9524;no;7;15.79315;0.6383190424135781
988;Esferas_BT474_dia_7_well_1_100X_6_blob_1;20.1183;1119;273;168.3106;9.7223;2.3866;0.419;0.8185;no;7;14.9203;0.5382253965407219
989;Esferas_BT474_dia_7_well_1_100X_7_blob_3;27.1484;116;763;31.7014;21.4626;1.2114;0.8255;0.945;no;7;24.3055;2.326725762732873
990;Esferas_BT474_dia_7_well_1_100X_7_blob_4;32.474000000000004;951;832;142.6507;22.5775;1.4482;0.6905;0.9365;no;7;27.52575;3.379473172651013
991;Esferas_BT474_dia_7_well_1_100X_8_blob_2;14.6965;1241;403;56.3099;12.9076;1.0556;0.9474;0.9531;no;7;13.80205;0.4260517063162176
992;Esferas_BT474_dia_7_well_1_100X_8_blob_3;79.0412;643;435;175.5635;52.1486;1.5889;0.6294;0.9155;no;7;65.5949;45.73426909893647
993;Esferas_BT474_dia_7_well_1_100X_8_blob_4;28.0102;903;436;75.9638;22.962;1.1452;0.8732;0.938;no;7;25.4861;2.682511968478252
994;Esferas_BT474_dia_7_well_1_100X_9_blob_1;28.3704;954;69;106.6992;22.3296;1.2179;0.8211;0.8906;no;7;25.35;2.6397658783875766
995;Esferas_BT474_dia_7_well_1_100X_9_blob_2;14.5862;446;454;152.2415;12.9076;1.0581;0.9451;0.9593;no;7;13.7469;0.4209648557260943
996;Esferas_BT474_dia_7_well_2_100X_1_blob_2;28.9022;277;347;156.4477;25.2885;1.1224;0.8909;0.9339;no;7;27.09535;3.2234119811422275
997;Esferas_BT474_dia_7_well_2_100X_1_blob_4;52.102;251;491;67.7824;43.9898;1.086;0.9208;0.9499;no;7;48.0459;17.972170042049033
998;Esferas_BT474_dia_7_well_2_100X_1_blob_5;14.0051;671;466;50.9061;12.2283;1.055;0.9478;0.9498;no;7;13.116700000000002;0.3656834257458649
999;Esferas_BT474_dia_7_well_2_100X_1_blob_6;22.5826;48;522;68.8387;17.3004;1.3909;0.7190000000000001;0.9068;no;7;19.9415;1.2850055055714724
1000;Esferas_BT474_dia_7_well_2_100X_1_blob_11;13.0675;957;753;117.8973;11.5336;1.1275;0.8869;0.9301;no;7;12.30055;0.3015817881355874
1001;Esferas_BT474_dia_7_well_2_100X_1_blob_12;39.4958;836;916;40.8151;32.2011;1.1648;0.8585;0.8917;no;7;35.84845;7.465220974092574
1002;Esferas_BT474_dia_7_well_2_100X_1_blob_13;16.4453;424;885;141.7098;14.2663;1.0521;0.9505;0.9322;no;7;15.3558;0.5867442753559112
1003;Esferas_BT474_dia_7_well_2_100X_2_blob_1;36.0118;445;427;35.789;24.9793;1.4436;0.6927;0.8864;no;7;30.49555;4.595586354195505
1004;Esferas_BT474_dia_7_well_2_100X_2_blob_2;78.0068;1020;419;160.1448;58.4239;1.3563;0.7373;0.8995;no;7;68.21535;51.43726342723403
1005;Esferas_BT474_dia_7_well_2_100X_2_blob_3;28.0596;380;475;96.953;22.1784;1.1627;0.8601;0.9235;no;7;25.119;2.568257456262496
1006;Esferas_BT474_dia_7_pozo_^~2_100X_2_blob_4;13.6716;490;494;153.4349;12.2283;1.03;0.9709;0.934;no;7;12.94995;0.3519133924225113
1007;Esferas_BT474_dia_7_well_2_100X_3_blob_1;37.8976;291;119;165.4655;31.25;1.1694;0.8552;0.9296;no;7;34.5738;6.696885382681423
1008;Esferas_BT474_dia_7_well_2_100X_3_blob_2;27.3432;462;174;63.4349;22.8623;1.1779;0.8490000000000001;0.952;no;7;25.10275;2.56327630365522
1009;Esferas_BT474_dia_7_well_2_100X_3_blob_3;24.5507;1122;282;165.5792;16.9837;1.3648;0.7327;0.9602;no;7;20.7672;1.4513272718181314
1010;Esferas_BT474_dia_7_well_2_100X_4_blob_1;19.8411;754;105;128.047;11.5948;1.9322;0.5176;0.8762;no;7;15.71795;0.6292442107817671
1011;Esferas_BT474_dia_7_well_2_100X_4_blob_2;12.2471;867;156;33.6901;10.8696;1.0376;0.9638;0.9435;no;7;11.55835;0.2502182853123974
1012;Esferas_BT474_dia_7_well_2_100X_5_blob_1;39.4373;578;182;169.0772;33.5052;1.1491;0.8703;0.9223;no;7;36.47125;7.861102608827402
1013;Esferas_BT474_dia_7_well_2_100X_5_blob_2;29.6744;782;205;105.9454;25.1359;1.1762;0.8502;0.957;no;7;27.40515;3.3352475233074776
1014;Esferas_BT474_dia_7_well_2_100X_5_blob_4;21.7497;276;627;128.6598;18.1132;1.2288;0.8138;0.9473;no;7;19.93145;1.2830636559690891
1015;Esferas_BT474_dia_7_well_2_100X_5_blob_5;27.0718;176;638;107.5256;20.3804;1.2472;0.8018;0.9657;no;7;23.7261;2.164265763627504
1016;Esferas_BT474_dia_7_well_2_100X_6_blob_3;31.2795;66;399;34.3803;24.978;1.2569;0.7956;0.935;no;7;28.12875;3.606474114918977
1017;Esferas_BT474_dia_7_well_2_100X_6_blob_4;41.4903;353;863;129.6855;36.6296;1.0724;0.9325;0.9544;no;7;39.05995;9.65665173427902
